_id,periodo,ID_SR,denominazione,tipologia,categoria,totale_unita,totale_bagni,totale_letti,indirizzo,frazione,cap,codice_istat_comune,comune,provincia,latitudine,longitudine,telefono,fax,sitoweb,email,periodi,servizi_generali,servizi_camera,prezzo_alta_stagione_o_unica,prezzo_bassa_stagione,foto1,foto2,foto3,foto4,foto5
577,2015,14297,B&B AULISA BIAGIO,Bed & breakfast,,3,3,9,CONTRADA FUNNI  31,,71030,71031,MATTINATA,Foggia,,,333-6551583,0884559691,www.villa-lucia.it,info@villa-lucia.it,15/06/2015-15/09/2015,Accesso animali piccola taglia,Aria condizionata indipendente-Tv-Angolo cottura,camera-tripla-bagno-persona (40-60),camera-tripla-bagno-persona (0-0),,,,,
578,2015,14650,B&B BAIA ZAGARE,Bed & breakfast,,3,2,6,VIA PERCHIE  2,,74122,73027,TARANTO,Taranto,40.40973,17.223410000000058,3485631685,,,lidobruno@alice.it,01/01/2015-15/01/2015#01/03/2015-30/09/2015,Bagno privato-Parco / Giardino-Somministrazione bevande-Somministrazione alimenti,Aria condizionata indipendente-Tv-Riscaldamento-Angolo cottura,camera-doppia-bagno (25-30)#camera-doppia-bagno-persona (25-30)#supplemento-aria-condizionata (25-30),camera-doppia-bagno (25-30)#camera-doppia-bagno-persona (25-30),,,,,
579,2015,14369,B&B BARI STAZIONE CENTRALE,Bed & breakfast,,3,2,6,,,,72006,BARI,Bari,,,,,,baristazionecentrale@gmail.com,,,,,,,,,,
580,2015,15747,B&B BERNARDINI,Bed & breakfast,,2,2,5,VIA LACONIA  2,,74123,73027,TARANTO,Taranto,40.4330444,17.264194900000007,3245661811,,http://bbinterno9.wix.com/interno9,bbinterno9@gmail.com,01/10/2015-31/12/2015,Reception 24h-Camere fumatori-Ascensore-Cucina in uso comune-Parco / Giardino-Camere / struttura per ospiti Disabili,Riscaldamento indipendente-Tv,camera-doppia-persona (20-40)#camera-tripla-persona (20-40),camera-doppia-persona (20-40)#camera-tripla-persona (20-40),http://www.agenziapugliapromozione.it/portal/documents/ddl/1556389/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/1556389/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/1556389/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/1556389/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/1556389/fileFoto5
589,2015,15288,B&B CANNETO BEACH,Bed & breakfast,,4,3,8,VIA BRASILE   161-170,,74020,73010,LEPORANO,Taranto,,,0995332037,,www.cannetobeach.it,bedandbreakfast@cannetobeach.it,01/01/2015-31/12/2015,Deposito bagagli-Bagno privato-Sala lettura-Parco / Giardino-Somministrazione alimenti,Aria condizionata indipendente-Tv,camera-doppia (75-130)#camera-doppia-bagno (70-140),camera-doppia (30-70)#camera-doppia-bagno (30-70),http://www.agenziapugliapromozione.it/portal/documents/ddl/1339868/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/1339868/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/1339868/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/1339868/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/1339868/fileFoto5
581,2015,11513,B&B BORGO DEL NESPOLO,Bed & breakfast,,5,5,10,CONTRADA MASTROTONNO  S.N.,,71010,71038,PESCHICI,Foggia,,,3298669324,,www.borgodelnespolo.com,info@borgodelnespolo.com,01/05/2015-30/09/2015,Deposito bagagli-Bagno privato-Parco / Giardino,Aria condizionata indipendente-Riscaldamento indipendente-Tv-Frigobar-Riscaldamento,camera-doppia-bagno (110-130)#camera-doppia-persona (55-65)#camera-doppia-bagno (110-130)#camera-doppia-persona (55-65),camera-doppia-bagno (70-90)#camera-doppia-persona (35-45)#camera-doppia-bagno (70-90)#camera-doppia-persona (35-45),http://www.agenziapugliapromozione.it/portal/documents/ddl/993024/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/993024/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/993024/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/993024/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/993024/fileFoto5
582,2015,12853,B&B BORGO SAN NICOLA,Bed & breakfast,,2,2,6,VIA SAN LUCA  4,,70100,72006,BARI,Bari,,,3208475740,,,borgos.nicola@mail.com,01/04/2015-08/08/2015#23/08/2015-31/12/2015,Reception 24h-Deposito bagagli-Bagno privato,Aria condizionata indipendente-Tv satellitare-Frigobar,camera-doppia-bagno (60-70)#camera-quadrupla (100-120)#doppia-uso-singola (45-50),camera-doppia-bagno (60-70)#camera-quadrupla (100-120),,,,,
583,2015,14202,B&B BORGO SARACENO,Bed & breakfast,,3,1,5,VIA TANCREDI  44,,76014,110008,SPINAZZOLA,Barletta-Andria-Trani,,,393 9354749,,,info@alborgosaraceno.it,01/01/2015-07/01/2015#15/03/2015-15/09/2015#23/10/2015-05/11/2015#15/12/2015-31/12/2015,Cucina in uso comune-Accesso animali piccola taglia,Aria condizionata indipendente-Tv-Riscaldamento,camera-doppia (50-70)#camera-singola (25-35),camera-doppia (0-0)#camera-singola (0-0),,,,,
584,2015,14836,B&B BORSELLINO,Bed & breakfast,,2,2,4,VIA P.BORSELLINO  46,,71042,71020,CERIGNOLA,Foggia,41.2620205,15.907864000000018,3335274650,0885410311,www.bebborsellino.it,info@bebborsellino.it,04/02/2015-30/09/2015#01/12/2015-31/12/2015,Reception 24h-Ascensore-Deposito bagagli-Cucina in uso comune-Bagno privato-Sala Tv-Parco / Giardino,Aria condizionata indipendente-Riscaldamento indipendente-Tv satellitare-Riscaldamento-Angolo cottura,camera-doppia-bagno (60-66)#camera-doppia-bagno-persona (30-36)#doppia-uso-singola (60-66),camera-doppia-bagno (0-0)#camera-doppia-bagno-persona (0-0),http://www.agenziapugliapromozione.it/portal/documents/ddl/998444/fileFoto1,,,,
585,2015,4795,B&B BRUNONE,Bed & breakfast,,4,2,8,,,,72017,CASTELLANA GROTTE,Bari,,,080 4964932,,,info@casabusciana.it,,,,,,,,,,
586,2015,12896,B&B CABALERO ZAPATERO JAVIER,Bed & breakfast,,4,2,6,,,,72006,BARI,Bari,,,,,,,,,,,,,,,,
587,2015,12966,B&B CAFFE',Bed & breakfast,,2,2,4,ZONA G  6/B,,70015,72031,NOCI,Bari,,,080 4970783,,www.bbcaffe.com,info@bbcaffe.com,03/01/2015-30/07/2015#01/09/2015-31/10/2015,Deposito bagagli-Bagno privato-Accesso animali piccola taglia,Aria condizionata indipendente-Riscaldamento indipendente-Tv-Frigobar-Riscaldamento,camera-doppia-bagno (60-70)#doppia-uso-singola (30-35),camera-doppia-bagno (50-60),,,,,
590,2015,13604,B&B CANTORE ISABELLA,Bed & breakfast,,3,3,9,VICO CHIUSO  2,ba,70123,72021,GIOIA DEL COLLE,Bari,,,080  3431116,0000000,,,01/01/2015-14/01/2015#21/03/2015-30/09/2015#31/10/2015-31/12/2015,Bagno privato-Accesso animali piccola taglia,Aria condizionata indipendente-Riscaldamento centralizzato-Tv-Riscaldamento,camera-doppia-bagno (50-60)#camera-quadrupla-bagno (60-80)#camera-tripla-bagno (60-70)#doppia-uso-singola (35-40),camera-doppia-bagno (50-60)#camera-quadrupla-bagno (60-80)#camera-tripla-bagno (60-70),http://www.agenziapugliapromozione.it/portal/documents/ddl/1029418/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/1029418/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/1029418/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/1029418/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/1029418/fileFoto5
591,2015,13685,B&B CARA CASA,Bed & breakfast,,1,1,2,VIA ROBERTO DA BARI  82,,70122,72006,BARI,Bari,,,080 3327160,,,fabrizianeglia@libero.it,09/01/2015-31/01/2015#09/02/2015-28/02/2015#09/03/2015-31/03/2015#01/04/2015-22/04/2015#01/05/2015-22/05/2015#01/06/2015-20/06/2015#01/07/2015-20/07/2015#01/08/2015-14/08/2015#01/09/2015-30/09/2015#07/10/2015-31/10/2015#01/11/2015-30/11/2015#01/12/2015-21/12/2015,Ascensore-Bagno privato,Nessuno,camera-doppia-bagno (50-75),camera-doppia-bagno (50-50),,,,,
592,2015,15475,B&B CASA CAMASSO,Bed & breakfast,,3,3,5,VIA LIBETTA  23,,71010,71038,PESCHICI,Foggia,41.944297,16.014797999999928,3468209382,,www.b&bcasacamasso.it,casacamasso@yahoo.it,26/06/2015-31/10/2015,Ascensore-Deposito bagagli-Cassaforte / cassette di sicurezza-Cucina in uso comune-Bagno privato-Sala Tv-Sala lettura-Somministrazione bevande-Somministrazione alimenti,Aria condizionata indipendente-Riscaldamento indipendente-Cassaforte / cassetta di sicurezza-Tv-Tv satellitare-Insonorizzazione-Frigobar-Riscaldamento,camera-doppia (90-90)#camera-doppia-bagno (100-100)#camera-singola-bagno (60-60),camera-doppia (0-0)#camera-doppia-bagno (0-0)#camera-singola-bagno (0-0),,,,,
593,2015,14781,B&B CASA LI-JALANTUUMENE,Bed & breakfast,,2,2,4,P.ZZA DE GALGANIS  5,,71037,71033,MONTE SANT'ANGELO,Foggia,,,0884565484,,www.li-jalantuumene.it,info@li-jalantuumene.it,05/03/2015-04/11/2015#07/12/2015-31/12/2015,Nessuno,Frigobar-Riscaldamento,camera-doppia-bagno (90-120)#doppia-uso-singola (60-90),camera-doppia-bagno (70-100),,,,,
594,2015,12808,B&B CAVOUR,Bed & breakfast,,5,5,8,VIA CAVOUR  32,,70023,72021,GIOIA DEL COLLE,Bari,,,0803481409,0803481409,www.bbcavourgioia.it,bbcavourgioia@g.mail.com,01/01/2015-16/01/2015#01/02/2015-13/02/2015#01/03/2015-22/03/2015#07/04/2015-30/04/2015#01/05/2015-31/05/2015#16/06/2015-30/06/2015#16/07/2015-31/07/2015#01/08/2015-31/08/2015#01/09/2015-20/09/2015#06/10/2015-31/10/2015#16/11/2015-30/11/2015#01/12/2015-31/12/2015,Ascensore-Deposito bagagli-Cassaforte / cassette di sicurezza-Cucina in uso comune-Bagno privato-Sala Tv-Sala lettura-Camere / struttura per ospiti Disabili,Tv-Insonorizzazione-Frigobar-Riscaldamento-Telefono-Aria condizionata indipendente-Riscaldamento indipendente-Cassaforte / cassetta di sicurezza,camera-doppia-bagno-persona (30-45)#camera-singola-bagno-persona (30-45),camera-doppia-bagno-persona (0-0)#camera-singola-bagno-persona (0-0),,,,,
606,2015,13427,B&B CORTE SAN GIUSEPPE,Bed & breakfast,,3,3,9,PIAZZA S. GIUSEPPE  -,,73048,75052,NARDO',Lecce,,,3407957941,,www.bbcortesangiuseppe.it,giuseppe_antico@tiscali.it,01/01/2015-12/01/2015#01/02/2015-30/04/2015#30/06/2015-14/09/2015#01/10/2015-31/12/2015,Deposito bagagli-Bagno privato-Parco / Giardino,Aria condizionata indipendente-Riscaldamento centralizzato-Tv-Frigobar-Idromassaggio-Riscaldamento-Angolo cottura,camera-doppia-bagno (65-85)#camera-doppia-bagno-persona (33-43)#camera-quadrupla-bagno (75-95)#camera-quadrupla-bagno-persona (19-24)#camera-tripla-bagno (70-90)#camera-tripla-bagno-persona (21-30)#doppia-uso-singola (38-60),camera-doppia-bagno (40-50)#camera-doppia-bagno-persona (20-25)#camera-quadrupla-bagno (55-80)#camera-quadrupla-bagno-persona (14-20)#camera-tripla-bagno (50-65)#camera-tripla-bagno-persona (17-22),,,,,
5433,2015,14157,VILLA DELL'ULIVO,Bed & breakfast,,3,3,6,,,,73014,MARUGGIO,Taranto,,,329 8933856,,,villadellulivo1@gmail.com,,,,,,,,,,
595,2015,14407,B&B CEMENR,Bed & breakfast,,2,1,4,VIA G. GARIBALDI  24,,70037,72038,RUVO DI PUGLIA,Bari,,,3475930458,,,simona978@hotmail.it,01/01/2015-31/01/2015#01/03/2015-31/08/2015#15/11/2015-31/12/2015,Reception 24h-Deposito bagagli-Accesso animali piccola taglia,Aria condizionata indipendente-Riscaldamento indipendente-Tv-Tv satellitare-Insonorizzazione-Frigobar-Riscaldamento-Telefono,camera-doppia (30-35)#doppia-uso-singola (25-30),camera-doppia (25-30),,,,,
596,2015,15166,B&B CENTRO STORICO GIOVINAZZO,Bed & breakfast,,1,1,4,VICO CORSIGNANO  7,,70054,72022,GIOVINAZZO,Bari,41.1887,16.673270000000002,3246262035,,www.bbcentrostoricogiovinazzo.it,bbcentrostoricogiovinazzo@gmail.com,19/03/2015-08/11/2015#27/11/2015-31/12/2015,Bagno privato-Sala lettura,Aria condizionata indipendente-Riscaldamento indipendente-Tv-Insonorizzazione-Frigobar-Riscaldamento,camera-quadrupla-bagno (115-125)#doppia-uso-singola (40-65)#camera-quadrupla-bagno (115-125)#doppia-uso-singola (40-65),camera-quadrupla-bagno (90-115)#camera-quadrupla-bagno (90-115),http://www.agenziapugliapromozione.it/portal/documents/ddl/1245394/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/1245394/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/1245394/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/1245394/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/1245394/fileFoto5
597,2015,14973,B&B CHERADI,Bed & breakfast,,2,2,6,VIA DONZELLE  2,,74122,73027,TARANTO,Taranto,40.4308839,17.248133000000053,3357896543,,,bebcheradi@gmail.com,01/01/2015-02/01/2015#01/03/2015-23/10/2015#01/12/2015-31/12/2015,Deposito bagagli-Cucina in uso comune-Bagno privato-Sala Tv-Sala lettura-Parco / Giardino-Accesso animali piccola taglia-Camere / struttura per ospiti Disabili,Aria condizionata indipendente-Riscaldamento indipendente-Tv-Riscaldamento,camera-doppia-bagno (50-60)#camera-singola-bagno (35-40)#camera-tripla-bagno-persona (25-75)#camera-doppia-bagno (50-60)#camera-singola-bagno (35-40)#camera-tripla-bagno-persona (25-75),camera-doppia-bagno (45-55)#camera-singola-bagno (30-35)#camera-tripla-bagno-persona (25-75)#camera-doppia-bagno (45-55)#camera-singola-bagno (30-35)#camera-tripla-bagno-persona (25-75),http://www.agenziapugliapromozione.it/portal/documents/ddl/1151480/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/1151480/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/1151480/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/1151480/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/1151480/fileFoto5
598,2015,13628,B&B CHIANCAROSA,Bed & breakfast,,1,1,3,S.C. PARCO DEL MEDICO  1,Chiancarosa,70017,72036,PUTIGNANO,Bari,,,,,,b.erac@libero.it,01/07/2015-15/11/2015,Accesso animali piccola taglia,Aria condizionata indipendente-Riscaldamento,camera-tripla (30-200),camera-tripla (0-0),,,,,
599,2015,12871,B&B CITTADELLA 28,Bed & breakfast,,2,2,5,VIA CITTADELLA  28,,76125,110009,TRANI,Barletta-Andria-Trani,41.27386,16.41847000000007,3468005790,,http://www.bedandbreakfast-trani.com/,bbcittadella28@libero.it,01/01/2015-31/01/2015#01/04/2015-25/09/2015#01/11/2015-31/12/2015,Reception 24h-Bagno privato-Accesso animali piccola taglia,Aria condizionata centralizzata-Aria condizionata indipendente-Riscaldamento centralizzato-Riscaldamento indipendente-Tv-Riscaldamento,camera-doppia-bagno-persona (30-30)#camera-tripla-bagno-persona (30-30),camera-doppia-bagno-persona (25-25)#camera-tripla-bagno-persona (25-25),http://www.agenziapugliapromozione.it/portal/documents/ddl/974082/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/974082/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/974082/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/974082/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/974082/fileFoto5
613,2015,15545,B&B DA ROCCO,Bed & breakfast,,3,3,5,VIA U.FOSCOLO  20,,71010,71027,LESINA,Foggia,41.861605,15.355872999999974,,,,,25/07/2015-31/12/2015,Bagno privato,Aria condizionata indipendente-Tv-Frigobar,camera-doppia-bagno-persona (25-40)#camera-singola-bagno-persona (25-40),camera-doppia-bagno-persona (0-0)#camera-singola-bagno-persona (0-0),,,,,
600,2015,14972,B&B CITY GARDEN,Bed & breakfast,,3,3,9,VIA BREST  2,,74121,73027,TARANTO,Taranto,,,,,,,01/01/2015-02/01/2015#01/02/2015-31/03/2015#01/05/2015-30/09/2015#01/11/2015-10/11/2015#16/11/2015-31/12/2015,Cucina in uso comune-Sala Tv-Sala lettura-Parco / Giardino-Accesso animali piccola taglia-Camere / struttura per ospiti Disabili,Aria condizionata indipendente-Riscaldamento centralizzato-Tv-Tv satellitare-Frigobar-Idromassaggio-Riscaldamento-Angolo cottura,camera-doppia-bagno (50-60)#camera-tripla-bagno (75-85)#camera-doppia-bagno (50-60)#camera-tripla-bagno (75-85),camera-doppia-bagno (45-55)#camera-tripla-bagno (70-75)#camera-doppia-bagno (45-55)#camera-tripla-bagno (70-75),,,,,
601,2015,13737,B&B COLAZIONE DA ALICE,Bed & breakfast,,2,2,5,VIA DAVANZATI  25,,70122,72006,BARI,Bari,41.12079749999999,16.871767999999975,,,,info@colazionedaalice.com,26/01/2015-31/01/2015#18/02/2015-31/07/2015#01/09/2015-31/10/2015#16/11/2015-19/12/2015,Deposito bagagli-Bagno privato-Sala lettura,Aria condizionata indipendente-Riscaldamento indipendente-Tv-Riscaldamento,camera-doppia-bagno (60-90)#camera-tripla-bagno (60-100)#doppia-uso-singola (35-60),camera-doppia-bagno (0-0)#camera-tripla-bagno (0-0),,,,,
602,2015,13466,B&B COLLINA DEGLI ULIVI,Bed & breakfast,,3,3,6,"CONTRADA MACCHIATUNNA - SP 339  KM 4,00",,73050,75066,SALVE,Lecce,,,0832633305,,www.residencecollinadegliulivi.it,info@residencecollinadegliulivi.it,20/05/2015-05/10/2015,Bagno privato-Parco / Giardino,Aria condizionata indipendente-Tv-Frigobar,camera-doppia-bagno-persona (35-60),camera-doppia-bagno-persona (20-35),,,,,
603,2015,12767,B&B CORNACCHIA MADDALENA,Bed & breakfast,,3,2,5,,,,72004,ALTAMURA,Bari,,,,,,,,,,,,,,,,
604,2015,12768,B&B CORNACCHIA MARIA GRAZIA,Bed & breakfast,,3,3,9,VIA CAPRERA  44,,70022,72004,ALTAMURA,Bari,40.82866,16.55643800000007,080 9675989,,www.alpricobeb.it,maryc.87@hotmail.it,01/01/2015-12/07/2015#01/09/2015-15/10/2015#01/12/2015-31/12/2015,Reception 24h-Deposito bagagli-Bagno privato,Riscaldamento indipendente-Tv,camera-doppia-bagno (50-60)#camera-quadrupla-bagno (90-100)#camera-tripla-bagno (70-80),camera-doppia-bagno (50-60)#camera-quadrupla-bagno (90-100)#camera-tripla-bagno (70-80),http://www.agenziapugliapromozione.it/portal/documents/ddl/871267/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/871267/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/871267/fileFoto3,,
605,2015,15671,B&B CORTE LATERZA,Bed & breakfast,,3,3,7,VICO I LATERZA  21,,74016,73015,MASSAFRA,Taranto,,,3339606169,,www.cortelaterza.it,info@cortelaterza.it,01/09/2015-15/09/2015#01/10/2015-31/12/2015,Cucina in uso comune-Bagno privato,Aria condizionata indipendente-Riscaldamento indipendente-Frigobar-Riscaldamento-Angolo cottura,camera-doppia (50-60)#camera-doppia-persona (15-30)#camera-quadrupla-bagno (50-90)#camera-quadrupla-bagno-persona (15-30)#camera-singola-bagno (30-40)#camera-singola-persona (30-40),camera-doppia (40-50)#camera-doppia-persona (10-25)#camera-quadrupla-bagno (40-70)#camera-quadrupla-bagno-persona (10-25)#camera-singola-bagno (20-30)#camera-singola-persona (20-30),http://www.agenziapugliapromozione.it/portal/documents/ddl/1502986/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/1502986/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/1502986/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/1502986/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/1502986/fileFoto5
625,2015,14418,B&B DI JANNETJE STOLK,Bed & breakfast,,3,1,6,,,,72031,NOCI,Bari,,,,,,,,,,,,,,,,
607,2015,11367,B&B DA BEATRICE,Bed & breakfast,,3,3,6,CONTRADA PARCO DELLA CHIESA  SNC,ISCHITELLA,71010,71025,ISCHITELLA,Foggia,,,0884 996900 - 995080,,www.bbbeatrice.net,info@bbbeatrice.net,01/04/2015-30/09/2015,Bagno privato-Parco / Giardino,Aria condizionata indipendente-Riscaldamento indipendente-Frigobar-Riscaldamento,camera-doppia-persona (25-35)#doppia-uso-singola (10-15)#camera-doppia-persona (25-35)#doppia-uso-singola (10-15),camera-doppia-persona (25-35)#camera-doppia-persona (25-35),,,,,
608,2015,11443,B&B DA CIRO,Bed & breakfast,,1,1,2,VIA LAZIO  49,,74023,73008,GROTTAGLIE,Taranto,40.539865,17.43490500000007,349.4685132,,www.bbdaciro.it,info@bbdaciro.it,01/01/2015-08/02/2015#22/03/2015-07/06/2015#23/06/2015-13/10/2015#29/10/2015-03/11/2015#28/11/2015-31/12/2015,Reception 24h-Deposito bagagli-Cucina in uso comune-Bagno privato-Sala lettura-Somministrazione bevande-Somministrazione alimenti-Camere / struttura per ospiti Disabili,Aria condizionata indipendente-Riscaldamento indipendente-Frigobar-Riscaldamento-Angolo cottura,camera-doppia (60-70)#doppia-uso-singola (28-40),camera-doppia (50-60)#doppia-uso-singola (0-0),http://www.agenziapugliapromozione.it/portal/documents/ddl/951523/fileFoto1,,,,
609,2015,13193,B&B DA DEBRA E MAR,Bed & breakfast,,3,2,6,VIA PESCARA  s.n.c.,MARINA DI GINOSA,74025,73007,GINOSA,Taranto,,,3317482099,,,debra.bentley007@gmail.com,01/01/2015-31/01/2015#21/03/2015-13/10/2015#01/12/2015-31/12/2015,Reception 24h-Cucina in uso comune-Bagno privato-Sala Tv-Sala lettura-Parco / Giardino,Aria condizionata indipendente-Riscaldamento indipendente-Tv-Insonorizzazione-Frigobar-Riscaldamento-Angolo cottura,camera-doppia (70-130)#camera-doppia-bagno (70-130),camera-doppia (70-110)#camera-doppia-bagno (70-110),,,,,
610,2015,15244,B&B DA GINO,Bed & breakfast,,2,2,6,VIA SAN DONATO  76,,70043,72030,MONOPOLI,Bari,,,,,,,21/04/2015-31/12/2015,Ascensore-Bagno privato-Camere / struttura per ospiti Disabili,Aria condizionata centralizzata-Riscaldamento centralizzato-Riscaldamento,camera-doppia (25-35)#camera-quadrupla-bagno (25-40)#doppia-uso-singola (25-35),camera-doppia (25-35)#camera-quadrupla-bagno (25-40),,,,,
611,2015,15402,B&B DA PIERO,Bed & breakfast,,3,3,6,VIA LAGO DI LEVICO  4/C,,74121,73027,TARANTO,Taranto,40.4482135,17.279973199999972,3475833672,,,dapiero73@libero.it,25/06/2015-31/12/2015,Cucina in uso comune-Bagno privato-Sala Tv-Parco / Giardino-Accesso animali piccola taglia,Aria condizionata indipendente-Tv,camera-doppia (29-50)#camera-doppia-bagno (30-50),camera-doppia (29-50)#camera-doppia-bagno (30-50),http://www.agenziapugliapromozione.it/portal/documents/ddl/1381036/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/1381036/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/1381036/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/1381036/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/1381036/fileFoto5
614,2015,12713,B&B DA SILVANA,Bed & breakfast,,3,2,6,VIA MONTE CALVARIO  16,,70011,72003,ALBEROBELLO,Bari,,,,,,dasilvana.alberobello@gmail.com,01/01/2015-06/01/2015#01/04/2015-31/08/2015#23/12/2015-31/12/2015,Camere fumatori-Deposito bagagli-Bagno privato-Sala Tv-Camere / struttura per ospiti Disabili,Aria condizionata indipendente-Riscaldamento indipendente-Tv-Riscaldamento-Angolo cottura,camera-doppia (50-70),camera-doppia (50-70),,,,,
615,2015,13639,B&B DE MAURO,Bed & breakfast,,5,5,10,VIA DIAZ  28,,74028,73026,SAVA,Taranto,40.399602,17.555346999999983,348.5311864,,,bebdemauro@virgilio.it,01/01/2015-25/01/2015#01/03/2015-30/09/2015#01/12/2015-31/12/2015,Camere fumatori-Cucina in uso comune-Bagno privato-Sala Tv-Sala lettura-Parco / Giardino-Accesso animali piccola taglia,Aria condizionata centralizzata-Aria condizionata indipendente-Riscaldamento centralizzato-Riscaldamento indipendente-Tv-Tv satellitare-Frigobar-Idromassaggio-Riscaldamento-Angolo cottura,camera-doppia-bagno-persona (25-40)#doppia-uso-singola (25-40),camera-doppia-bagno-persona (25-40),http://www.agenziapugliapromozione.it/portal/documents/ddl/1006273/fileFoto1,,,,
616,2015,12942,B&B DEI GLICINI,Bed & breakfast,,3,2,7,VIA DEI GLICINI  1,,73048,75052,NARDO',Lecce,,,3473660628,,,bb.glicini@gmail.com,13/06/2015-30/09/2015,Reception 24h-Camere fumatori-Deposito bagagli-Cucina in uso comune-Bagno privato-Parco / Giardino-Accesso animali piccola taglia,Aria condizionata centralizzata-Tv-Frigobar,camera-doppia (60-65)#camera-doppia-bagno (60-65)#camera-tripla-bagno (105-120),camera-doppia (50-55)#camera-doppia-bagno (50-55)#camera-tripla-bagno (75-80),http://www.agenziapugliapromozione.it/portal/documents/ddl/866170/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/866170/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/866170/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/866170/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/866170/fileFoto5
617,2015,14448,B&B DEL CAROSENO,Bed & breakfast,,3,3,9,VIA VITANTONIO GIAMPIETRO  4,,70013,72017,CASTELLANA GROTTE,Bari,,,,,,osteriacaroseno@hotmail.it,,Reception 24h-Deposito bagagli-Bagno privato-Sala Tv-Sala lettura-Somministrazione bevande-Somministrazione alimenti-Accesso animali piccola taglia,Aria condizionata indipendente-Riscaldamento indipendente-Tv-Tv satellitare-Frigobar-Riscaldamento,,,http://www.agenziapugliapromozione.it/portal/documents/ddl/1158983/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/1158983/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/1158983/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/1158983/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/1158983/fileFoto5
618,2015,13464,B&B DEL CONTADINO,Bed & breakfast,,4,4,10,,,,75050,MORCIANO DI LEUCA,Lecce,39.8430509,18.340389500000015,3393058439 /3272599453,,www.beddalcontadino.it,cosiantoniorocco@gmail.it,,Reception 24h-Bagno privato-Sala Tv-Parco / Giardino-Somministrazione bevande-Somministrazione alimenti-Camere / struttura per ospiti Disabili,Aria condizionata indipendente-Tv-Frigobar-Riscaldamento,,,,,,,
619,2015,12102,B&B DEL CORSO,Bed & breakfast,,2,2,4,VIA CAPPELLA   2/A,,76016,110005,MARGHERITA DI SAVOIA,Barletta-Andria-Trani,,,3806341296,,www.bebdelcorso.it,info@bebdelcorso.it,01/01/2015-07/01/2015#01/04/2015-15/11/2015,Cassaforte / cassette di sicurezza-Bagno privato,Aria condizionata indipendente-Riscaldamento indipendente-Cassaforte / cassetta di sicurezza-Tv-Frigobar-Riscaldamento,camera-doppia-bagno (80-90)#doppia-uso-singola (60-70),camera-doppia-bagno (60-80),,,,,
